iter	Passed	Remaining
0	148	148464
1	152	76307
2	157	52313
3	161	40228
4	166	33093
5	170	28237
6	174	24812
7	178	22175
8	183	20163
9	187	18603
10	192	17306
11	196	16188
12	201	15285
13	205	14463
14	208	13658
15	210	12943
16	212	12288
17	214	11702
18	216	11182
19	218	10691
20	219	10242
21	221	9834
22	222	9463
23	224	9110
24	225	8785
25	226	8482
26	227	8201
27	228	7947
28	229	7698
29	230	7468
30	232	7253
31	233	7048
32	233	6856
33	235	6678
34	236	6507
35	236	6344
36	237	6187
37	238	6043
38	239	5905
39	240	5773
40	241	5646
41	242	5527
42	243	5412
43	244	5302
44	244	5196
45	245	5095
46	246	4998
47	247	4905
48	248	4816
49	248	4730
50	249	4648
51	250	4569
52	251	4493
53	252	4420
54	253	4351
55	254	4283
56	254	4217
57	255	4153
58	256	4093
59	257	4033
60	258	3975
61	259	3920
62	259	3866
63	260	3814
64	261	3763
65	262	3714
66	263	3666
67	264	3620
68	264	3575
69	265	3531
70	266	3489
71	267	3447
72	268	3407
73	269	3367
74	269	3329
75	270	3293
76	271	3256
77	272	3220
78	273	3185
79	274	3153
80	275	3120
81	275	3088
82	276	3052
83	277	3021
84	277	2991
85	278	2961
86	279	2933
87	280	2904
88	281	2877
89	282	2851
90	282	2825
91	283	2799
92	284	2774
93	285	2750
94	286	2726
95	286	2702
96	287	2678
97	288	2655
98	289	2634
99	290	2612
100	291	2591
101	291	2570
102	292	2550
103	293	2529
104	294	2509
105	295	2489
106	296	2470
107	296	2451
108	297	2433
109	298	2415
110	299	2397
111	300	2380
112	300	2362
113	301	2344
114	302	2328
115	303	2311
116	304	2294
117	304	2278
118	305	2262
119	306	2247
120	307	2232
121	307	2216
122	308	2201
123	309	2186
124	310	2172
125	311	2158
126	311	2143
127	312	2130
128	313	2117
129	314	2104
130	315	2091
131	316	2078
132	316	2066
133	317	2053
134	318	2041
135	319	2029
136	320	2017
137	321	2006
138	322	1994
139	322	1983
140	323	1972
141	324	1959
142	325	1948
143	326	1938
144	326	1927
145	327	1917
146	328	1906
147	329	1896
148	330	1886
149	331	1875
150	331	1866
151	332	1856
152	333	1847
153	334	1837
154	335	1828
155	336	1819
156	337	1810
157	337	1800
158	338	1791
159	339	1783
160	340	1772
161	341	1764
162	341	1755
163	342	1746
164	343	1738
165	344	1730
166	345	1721
167	346	1713
168	346	1705
169	347	1697
170	348	1689
171	349	1681
172	350	1674
173	351	1666
174	351	1658
175	352	1651
176	353	1644
177	354	1637
178	355	1629
179	356	1622
180	356	1615
181	357	1608
182	358	1601
183	359	1594
184	360	1587
185	361	1580
186	361	1573
187	362	1566
188	363	1559
189	364	1553
190	365	1546
191	366	1540
192	366	1533
193	367	1527
194	368	1521
195	369	1515
196	370	1508
197	370	1502
198	371	1496
199	372	1490
200	373	1484
201	374	1478
202	375	1472
203	375	1467
204	376	1461
205	377	1455
206	378	1449
207	379	1444
208	380	1438
209	380	1433
210	381	1427
211	382	1422
212	383	1417
213	384	1413
214	385	1408
215	386	1403
216	387	1398
217	388	1393
218	389	1388
219	390	1383
220	391	1378
221	391	1373
222	392	1368
223	393	1364
224	394	1358
225	395	1354
226	396	1349
227	397	1344
228	397	1339
229	398	1334
230	399	1329
231	400	1325
232	401	1320
233	402	1316
234	402	1311
235	403	1307
236	404	1302
237	405	1297
238	406	1293
239	407	1289
240	407	1284
241	408	1280
242	409	1275
243	410	1271
244	411	1267
245	412	1263
246	412	1258
247	413	1254
248	414	1250
249	415	1246
250	416	1241
251	417	1237
252	417	1233
253	418	1229
254	419	1225
255	420	1221
256	421	1217
257	422	1213
258	422	1209
259	423	1206
260	424	1202
261	425	1199
262	426	1196
263	427	1193
264	428	1189
265	430	1186
266	430	1183
267	432	1180
268	433	1177
269	434	1174
270	435	1171
271	436	1167
272	437	1164
273	438	1161
274	439	1158
275	440	1154
276	441	1151
277	441	1147
278	442	1144
279	443	1140
280	444	1137
281	445	1133
282	445	1129
283	446	1126
284	447	1122
285	448	1119
286	449	1116
287	450	1112
288	451	1109
289	451	1106
290	452	1103
291	453	1099
292	454	1096
293	455	1093
294	456	1089
295	456	1086
296	457	1083
297	458	1080
298	459	1077
299	460	1073
300	461	1070
301	461	1067
302	462	1064
303	463	1061
304	464	1058
305	465	1055
306	466	1052
307	467	1049
308	467	1046
309	468	1043
310	469	1040
311	470	1037
312	471	1034
313	472	1031
314	473	1028
315	473	1025
316	474	1022
317	475	1019
318	476	1016
319	477	1013
320	477	1010
321	478	1008
322	479	1005
323	480	1002
324	481	999
325	482	996
326	483	994
327	483	991
328	484	988
329	485	985
330	486	983
331	487	980
332	488	977
333	488	974
334	489	972
335	490	969
336	491	966
337	492	964
338	493	961
339	493	958
340	494	956
341	495	953
342	496	950
343	497	948
344	498	945
345	498	942
346	499	940
347	500	937
348	501	935
349	502	932
350	503	930
351	503	927
352	504	924
353	505	922
354	506	919
355	507	917
356	507	914
357	508	912
358	509	910
359	510	908
360	511	905
361	512	903
362	513	901
363	514	899
364	515	896
365	516	894
366	517	892
367	518	889
368	518	887
369	519	884
370	520	882
371	521	880
372	522	877
373	523	875
374	523	873
375	524	870
376	525	868
377	526	866
378	527	863
379	528	861
380	528	859
381	529	856
382	530	854
383	531	852
384	532	850
385	533	847
386	533	845
387	534	843
388	535	841
389	536	838
390	537	836
391	538	834
392	538	832
393	539	830
394	540	828
395	541	825
396	542	823
397	543	821
398	544	819
399	544	817
400	545	815
401	546	813
402	547	811
403	548	809
404	549	807
405	550	804
406	551	802
407	551	800
408	552	798
409	553	796
410	554	794
411	555	792
412	556	790
413	556	788
414	557	786
415	558	784
416	559	782
417	560	780
418	561	777
419	561	775
420	562	773
421	563	771
422	564	769
423	565	767
424	566	765
425	566	763
426	567	761
427	568	759
428	569	757
429	570	755
430	571	753
431	571	751
432	572	750
433	573	748
434	574	746
435	575	744
436	576	742
437	577	740
438	577	738
439	578	736
440	579	734
441	580	732
442	581	730
443	582	728
444	582	726
445	583	725
446	584	723
447	585	721
448	586	719
449	587	717
450	587	715
451	588	713
452	589	711
453	590	710
454	591	708
455	592	706
456	593	704
457	593	702
458	594	700
459	595	699
460	596	697
461	597	695
462	598	693
463	598	691
464	599	690
465	600	688
466	601	686
467	602	684
468	603	682
469	603	680
470	604	679
471	605	677
472	606	675
473	607	673
474	607	671
475	608	670
476	609	668
477	610	666
478	611	665
479	612	663
480	612	661
481	613	659
482	614	657
483	615	656
484	616	654
485	617	652
486	618	651
487	618	649
488	619	647
489	620	645
490	621	644
491	622	642
492	623	640
493	623	639
494	624	637
495	625	635
496	626	634
497	627	632
498	628	630
499	628	628
500	629	627
501	630	625
502	631	623
503	632	622
504	633	620
505	633	618
506	634	617
507	635	615
508	636	613
509	637	612
510	638	610
511	638	608
512	639	607
513	640	605
514	641	604
515	642	602
516	643	600
517	643	599
518	644	597
519	645	595
520	646	594
521	647	592
522	648	591
523	648	589
524	649	587
525	650	586
526	651	584
527	652	583
528	653	581
529	653	579
530	654	578
531	655	576
532	656	575
533	657	573
534	658	572
535	658	570
536	659	568
537	660	567
538	661	565
539	662	564
540	663	562
541	664	561
542	665	559
543	665	558
544	666	556
545	667	555
546	668	553
547	669	552
548	670	550
549	671	549
550	671	547
551	672	545
552	673	544
553	674	542
554	675	541
555	676	539
556	676	538
557	677	536
558	678	535
559	679	533
560	680	532
561	680	530
562	681	529
563	682	527
564	683	526
565	684	524
566	685	523
567	685	521
568	686	520
569	687	518
570	688	517
571	689	515
572	690	514
573	690	512
574	691	511
575	692	509
576	693	508
577	694	506
578	695	505
579	696	504
580	696	502
581	697	501
582	698	499
583	699	498
584	700	496
585	701	495
586	702	493
587	702	492
588	703	491
589	704	489
590	705	488
591	706	486
592	707	485
593	707	483
594	708	482
595	709	481
596	710	479
597	711	478
598	712	476
599	712	475
600	713	473
601	714	472
602	715	471
603	716	469
604	717	468
605	717	466
606	718	465
607	719	463
608	720	462
609	721	461
610	722	459
611	722	458
612	723	456
613	724	455
614	725	454
615	726	452
616	727	451
617	727	449
618	728	448
619	729	447
620	730	445
621	731	444
622	732	443
623	732	441
624	733	440
625	734	438
626	735	437
627	736	436
628	737	435
629	738	433
630	739	432
631	740	431
632	741	429
633	742	428
634	742	426
635	743	425
636	744	424
637	745	422
638	746	421
639	746	420
640	747	418
641	748	417
642	749	416
643	750	414
644	751	413
645	751	412
646	752	410
647	753	409
648	754	408
649	755	406
650	756	405
651	756	404
652	757	402
653	758	401
654	759	400
655	760	398
656	761	397
657	761	396
658	762	394
659	763	393
660	764	392
661	765	390
662	766	389
663	767	388
664	767	386
665	768	385
666	769	384
667	770	382
668	771	381
669	772	380
670	772	378
671	773	377
672	774	376
673	775	375
674	776	373
675	777	372
676	777	371
677	778	369
678	779	368
679	780	367
680	781	365
681	782	364
682	782	363
683	783	362
684	784	360
685	785	359
686	786	358
687	787	356
688	788	355
689	788	354
690	789	353
691	790	351
692	791	350
693	792	349
694	793	348
695	793	346
696	794	345
697	795	344
698	796	342
699	797	341
700	798	340
701	798	339
702	799	337
703	800	336
704	801	335
705	802	334
706	803	332
707	804	331
708	804	330
709	805	329
710	806	327
711	807	326
712	808	325
713	809	324
714	809	322
715	810	321
716	811	320
717	812	319
718	813	317
719	814	316
720	815	315
721	815	314
722	816	312
723	817	311
724	818	310
725	819	309
726	820	307
727	820	306
728	821	305
729	822	304
730	823	303
731	824	301
732	825	300
733	825	299
734	826	298
